game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20140301,11:00a,Massachusetts,Dayton,MASS,DAY,79,86,-7,+2.5,0,54%,+125,-135,142,142,59%,47%
,,,20140301,11:00a,Dayton,Massachusetts,DAY,MASS,86,79,7,-2.5,1,46%,-135,+125,142,142,41%,53%
,,,20140301,12:00p,South Florida,Rutgers,USF,RUTG,73,74,-1,+4,0,42%,+165,-175,137,137,41%,19%
,,,20140301,12:00p,Rutgers,South Florida,RUTG,USF,74,73,1,-4,1,58%,-175,+165,137,137,59%,81%
,,,20140301,12:00p,Cincinnati,Connecticut,CIN,CONN,45,51,-6,+4,0,57%,+165,-175,125,125,67%,14%
,,,20140301,12:00p,Connecticut,Cincinnati,CONN,CIN,51,45,6,-4,1,43%,-175,+165,125,125,33%,86%
,,,20140301,12:00p,Miami (FL),North Carolina State,MIA,NCST,85,70,15,+2.5,1,44%,+130,-140,123,123,23%,56%
,,,20140301,12:00p,North Carolina State,Miami (FL),NCST,MIA,70,85,-15,-2.5,0,56%,-140,+130,123,123,77%,44%
,,,20140301,12:00p,Miami (OH),Buffalo,M-OH,BUFF,55,78,-23,+10.5,0,47%,+510,-615,136.5,136.5,30%,15%
,,,20140301,12:00p,Buffalo,Miami (OH),BUFF,M-OH,78,55,23,-10.5,1,53%,-615,+510,136.5,136.5,70%,85%
,,,20140301,12:00p,Vanderbilt,Tennessee,VAN,TENN,38,76,-38,+11,0,53%,+500,-600,125.5,125.5,57%,90%
,,,20140301,12:00p,Tennessee,Vanderbilt,TENN,VAN,76,38,38,-11,1,47%,-600,+500,125.5,125.5,43%,10%
,,,20140301,1:00p,Drexel,Northeastern,DREX,NE,52,54,-2,-2,0,63%,-130,+120,124.5,124.5,81%,36%
,,,20140301,1:00p,Northeastern,Drexel,NE,DREX,54,52,2,2,1,37%,+120,-130,124.5,124.5,19%,64%
,,,20140301,1:30p,TCU,West Virginia,TCU,WVU,59,81,-22,+16.5,0,39%,+1275,-1600,141,141,NaN,17%
,,,20140301,1:30p,West Virginia,TCU,WVU,TCU,81,59,22,-16.5,1,61%,-1600,+1275,141,141,NaN,83%
,,,20140301,1:30p,Texas Tech,Baylor,TTU,BAY,49,59,-10,+9,0,41%,+370,-415,129,129,33%,16%
,,,20140301,1:30p,Baylor,Texas Tech,BAY,TTU,59,49,10,-9,1,59%,-415,+370,129,129,67%,84%
,,,20140301,1:30p,Mississippi State,Missouri,MSST,MIZZ,66,85,-19,+15.5,0,53%,+1225,-1550,144.5,144.5,38%,60%
,,,20140301,1:30p,Missouri,Mississippi State,MIZZ,MSST,85,66,19,-15.5,1,47%,-1550,+1225,144.5,144.5,62%,40%
,,,20140301,2:00p,Louisville,Memphis,LOU,MEM,66,72,-6,-5,0,52%,-200,+185,144,144,63%,68%
,,,20140301,2:00p,Memphis,Louisville,MEM,LOU,72,66,6,5,1,48%,+185,-200,144,144,37%,32%
,,,20140301,2:00p,Kent State,Ohio,KENT,OHIO,75,61,14,+7.5,1,44%,+300,-330,136.5,136.5,33%,11%
,,,20140301,2:00p,Ohio,Kent State,OHIO,KENT,61,75,-14,-7.5,0,56%,-330,+300,136.5,136.5,67%,89%
,,,20140301,2:00p,Northern Illinois,Eastern Michigan,NIU,EMU,52,56,-4,+9.5,0,57%,+435,-500,112,112,48%,83%
,,,20140301,2:00p,Eastern Michigan,Northern Illinois,EMU,NIU,56,52,4,-9.5,1,43%,-500,+435,112,112,52%,17%
,,,20140301,2:00p,Central Michigan,Ball State,CMU,BALL,71,74,-3,+2.5,0,54%,+130,-140,143.5,143.5,56%,81%
,,,20140301,2:00p,Ball State,Central Michigan,BALL,CMU,74,71,3,-2.5,1,46%,-140,+130,143.5,143.5,44%,19%
,,,20140301,2:00p,Colorado,Utah,COLO,UTAH,64,75,-11,+7.5,0,46%,+305,-335,139.5,139.5,56%,51%
,,,20140301,2:00p,Utah,Colorado,UTAH,COLO,75,64,11,-7.5,1,54%,-335,+305,139.5,139.5,44%,49%
,,,20140301,2:00p,Richmond,Rhode Island,RICH,URI,43,66,-23,+1.5,0,53%,+107,-117,131,131,68%,48%
,,,20140301,2:00p,Rhode Island,Richmond,URI,RICH,66,43,23,-1.5,1,47%,-117,+107,131,131,32%,52%
,,,20140301,2:00p,Wright State,Illinois-Chicago,WRST,UIC,68,61,7,-5,1,64%,-210,+190,127.5,127.5,84%,92%
,,,20140301,2:00p,Illinois-Chicago,Wright State,UIC,WRST,61,68,-7,5,0,36%,+190,-210,127.5,127.5,16%,8%
,,,20140301,2:00p,Delaware,Charleston,DEL,COFC,89,86,3,+1,1,57%,+103,-113,135,135,71%,58%
,,,20140301,2:00p,Charleston,Delaware,COFC,DEL,86,89,-3,-1,0,43%,-113,+103,135,135,29%,NaN
,,,20140301,2:00p,Pittsburgh,Notre Dame,PITT,ND,85,81,4,-3.5,1,58%,-160,+150,129.5,129.5,75%,43%
,,,20140301,2:00p,Notre Dame,Pittsburgh,ND,PITT,81,85,-4,3.5,0,42%,+150,-160,129.5,129.5,25%,57%
,,,20140301,4:00p,Illinois,Michigan State,ILL,MSU,53,46,7,+13,1,34%,+800,-1000,129.5,129.5,21%,68%
,,,20140301,4:00p,Michigan State,Illinois,MSU,ILL,46,53,-7,-13,0,66%,-1000,+800,129.5,129.5,79%,32%
,,,20140301,4:00p,Cleveland State,Valparaiso,CLEV,VALP,63,52,11,+2,1,44%,+125,-135,134.5,134.5,38%,65%
,,,20140301,4:00p,Valparaiso,Cleveland State,VALP,CLEV,52,63,-11,-2,0,56%,-135,+125,134.5,134.5,62%,35%
,,,20140301,2:30p,North Carolina,Virginia Tech,UNC,VT,60,56,4,-11,1,61%,-615,+510,136.5,136.5,81%,29%
,,,20140301,2:30p,Virginia Tech,North Carolina,VT,UNC,56,60,-4,11,0,39%,+510,-615,136.5,136.5,19%,71%
,,,20140301,2:30p,North Carolina,Virginia Tech,UNC,VT,60,56,4,-11,1,61%,-615,+510,136.5,136.5,81%,29%
,,,20140301,2:30p,Virginia Tech,North Carolina,VT,UNC,56,60,-4,11,0,39%,+510,-615,136.5,136.5,19%,71%
,,,20140301,2:30p,North Carolina,Virginia Tech,UNC,VT,60,56,4,-11,1,61%,-615,+510,136.5,136.5,81%,29%,,,139.5,139.5,NaN,NaN
,,,20140301,2:30p,Virginia Tech,North Carolina,VT,UNC,56,60,-4,11,0,39%,+510,-615,136.5,136.5,19%,71%,,,139.5,139.5,NaN,81%
,,,20140301,3:00p,Auburn,Alabama,AUB,ALA,57,73,-16,+4.5,0,52%,+175,-190,139,139,55%,61%
,,,20140301,3:00p,Alabama,Auburn,ALA,AUB,73,57,16,-4.5,1,48%,-190,+175,139,139,45%,39%
,,,20140301,4:00p,LSU,Florida,LSU,FLA,61,79,-18,+12,0,57%,+635,-800,137.5,137.5,32%,60%
,,,20140301,4:00p,Florida,LSU,FLA,LSU,79,61,18,-12,1,43%,-800,+635,137.5,137.5,68%,40%
,,,20140301,4:00p,Georgia,Arkansas,UGA,ARK,75,87,-12,+8,0,59%,+305,-335,139.5,139.5,61%,94%
,,,20140301,4:00p,Arkansas,Georgia,ARK,UGA,87,75,12,-8,1,41%,-335,+305,139.5,139.5,39%,6%
,,,20140301,4:00p,Oregon,USC,ORE,USC,78,63,15,-8.5,1,61%,-385,+345,147.5,147.5,83%,72%
,,,20140301,4:00p,USC,Oregon,USC,ORE,63,78,-15,8.5,0,39%,+345,-385,147.5,147.5,17%,28%
,,,20140301,4:00p,BYU,San Diego,BYU,USD,78,70,8,-4.5,1,41%,-190,+175,145,145,61%,66%
,,,20140301,4:00p,San Diego,BYU,USD,BYU,70,78,-8,4.5,0,59%,+175,-190,145,145,39%,34%
,,,20140301,4:00p,UNLV,Air Force,UNLV,AFA,93,67,26,-5,1,65%,-200,+185,130.5,130.5,NaN,85%
,,,20140301,4:00p,Air Force,UNLV,AFA,UNLV,67,93,-26,5,0,35%,+185,-200,130.5,130.5,NaN,15%
,,,20140301,4:00p,UCF,SMU,UCF,SMU,55,70,-15,+14.5,0,43%,+1025,-1250,138,138,29%,93%
,,,20140301,4:00p,SMU,UCF,SMU,UCF,70,55,15,-14.5,1,57%,-1250,+1025,138,138,71%,7%
,,,20140301,4:00p,Texas,Oklahoma,TEX,OKLA,65,77,-12,+4.5,0,43%,+175,-190,158.5,158.5,30%,78%
,,,20140301,4:00p,Oklahoma,Texas,OKLA,TEX,77,65,12,-4.5,1,57%,-190,+175,158.5,158.5,70%,22%
,,,20140301,4:00p,William & Mary,Towson,WM,TOWS,68,70,-2,+5.5,0,43%,+190,-210,145.5,145.5,26%,52%
,,,20140301,4:00p,Towson,William & Mary,TOWS,WM,70,68,2,-5.5,1,57%,-210,+190,145.5,145.5,74%,48%
,,,20140301,4:00p,Syracuse,Virginia,SYR,UVA,56,75,-19,+4,0,56%,+168,-180,115,115,72%,53%
,,,20140301,4:00p,Virginia,Syracuse,UVA,SYR,75,56,19,-4,1,44%,-180,+168,115,115,28%,47%
,,,20140301,4:00p,Boston College,Wake Forest,BC,WAKE,80,72,8,+2.5,1,35%,+130,-140,139,139,20%,59%
,,,20140301,4:00p,Wake Forest,Boston College,WAKE,BC,72,80,-8,-2.5,0,65%,-140,+130,139,139,80%,41%
,,,20140301,5:00p,Northwestern,Nebraska,NW,NEB,47,54,-7,+9,0,36%,+395,-445,119,119,20%,40%
,,,20140301,5:00p,Nebraska,Northwestern,NEB,NW,54,47,7,-9,1,0%,-445,+395,119,119,80%,60%
,,,20140301,5:00p,Troy,Louisiana-Monroe,TROY,ULM,61,46,15,+4.5,1,34%,+175,-190,131,131,32%,54%
,,,20140301,5:00p,Louisiana-Monroe,Troy,ULM,TROY,46,61,-15,-4.5,0,66%,-190,+175,131,131,68%,46%
,,,20140301,5:00p,La Salle,Fordham,LAS,FOR,64,62,2,-5,1,57%,-210,+190,142.5,142.5,77%,47%
,,,20140301,5:00p,Fordham,La Salle,FOR,LAS,62,64,-2,5,0,43%,+190,-210,142.5,142.5,23%,53%
,,,20140301,5:00p,Creighton,Xavier,CREI,XAV,69,75,-6,-2.5,0,54%,-140,+120,143.5,143.5,60%,39%
