game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20130101,1:00p,Yale,Iowa State,YALE,ISU,70,80,-10,+18.5,0,51%,+3250,-7500,139.5,139.5,55%,44%
,,,20130101,1:00p,Iowa State,Yale,ISU,YALE,80,70,10,-18.5,1,49%,-7500,+3250,139.5,139.5,45%,56%
,,,20130101,2:00p,Hofstra,Florida Atlantic,HOF,FAU,57,61,-4,+8,0,45%,+300,-330,133.5,133.5,27%,38%
,,,20130101,2:00p,Florida Atlantic,Hofstra,FAU,HOF,61,57,4,-8,1,55%,-330,+300,133.5,133.5,73%,62%
,,,20130101,8:00p,Connecticut,Marquette,CONN,MARQ,76,82,-6,+5,0,59%,+195,-215,133.5,133.5,60%,61%
,,,20130101,8:00p,Marquette,Connecticut,MARQ,CONN,82,76,6,-5,1,41%,-215,+195,133.5,133.5,40%,39%
,,,20130101,3:00p,IUPUI,Maryland,IUPU,MD,63,81,-18,+22,0,48%,+5000,-12500,147,147,44%,27%
,,,20130101,3:00p,Maryland,IUPUI,MD,IUPU,81,63,18,-22,1,52%,-12500,+5000,147,147,56%,73%
,,,20130101,4:00p,Citadel,Clemson,CIT,CLEM,51,92,-41,+22,0,46%,+5500,-13500,124,124,36%,NaN
,,,20130101,4:00p,Clemson,Citadel,CLEM,CIT,92,51,41,-22,1,54%,-13500,+5500,124,124,64%,52%
,,,20130102,6:00p,Eastern Michigan,Kentucky,EMU,UK,38,90,-52,+27,0,42%,+16500,-49500,126.5,126.5,41%,50%
,,,20130102,6:00p,Kentucky,Eastern Michigan,UK,EMU,90,38,52,-27,1,58%,-49500,+16500,126.5,126.5,59%,50%
,,,20130102,6:00p,Kent State,Cleveland State,KENT,CLEV,72,55,17,-2.5,1,54%,-135,+125,141,141,54%,49%
,,,20130102,6:00p,Cleveland State,Kent State,CLEV,KENT,55,72,-17,2.5,0,46%,+125,-135,141,141,46%,51%
,,,20130102,6:30p,Nebraska,Ohio State,NEB,OSU,44,70,-26,+21,0,44%,+4000,-10000,129.5,129.5,37%,30%
,,,20130102,6:30p,Ohio State,Nebraska,OSU,NEB,70,44,26,-21,1,56%,-10000,+4000,129.5,129.5,63%,70%
,,,20130102,6:00p,Providence,Louisville,PROV,LOU,62,80,-18,+18,0,52%,+2625,-5500,133,133,56%,66%
