game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20150101,4:00p,Pacific,Loyola Marymount,PAC,LMU,77,63,14,+4.5,1,55%,+170,-185,124,124,61%,46%
,,,20150101,4:00p,Loyola Marymount,Pacific,LMU,PAC,63,77,-14,-4.5,0,45%,-185,+170,124,124,39%,54%
,,,20150101,8:00p,Northern Iowa,Evansville,UNI,EVAN,49,52,-3,-3.5,0,58%,-165,+155,131,131,63%,69%
,,,20150101,8:00p,Evansville,Northern Iowa,EVAN,UNI,52,49,3,3.5,1,42%,+155,-165,131,131,37%,31%
,,,20150101,10:00p,San Diego,San Francisco,USD,SF,57,56,1,+4,1,42%,+165,-175,134,134,27%,33%
,,,20150101,10:00p,San Francisco,San Diego,SF,USD,56,57,-1,-4,0,58%,-175,+165,134,134,73%,67%
,,,20150101,2:00p,Southeast Missouri State,Belmont,SEMO,BEL,77,78,-1,+9,0,51%,+420,-475,142.5,142.5,34%,43%
,,,20150101,2:00p,Belmont,Southeast Missouri State,BEL,SEMO,78,77,1,-9,1,49%,-475,+420,142.5,142.5,66%,57%
,,,20150101,3:05p,North Dakota,Montana State,UND,MTST,67,60,7,+3,1,41%,+145,-155,143,143,NaN,52%
,,,20150101,3:05p,Montana State,North Dakota,MTST,UND,60,67,-7,-3,0,59%,-155,+145,143,143,NaN,48%
,,,20150101,4:15p,Tennessee Tech,Eastern Illinois,TNTC,EIU,59,61,-2,+2.5,0,61%,+130,-150,126.5,126.5,53%,63%
,,,20150101,4:15p,Eastern Illinois,Tennessee Tech,EIU,TNTC,61,59,2,-2.5,1,39%,-150,+130,126.5,126.5,47%,37%
,,,20150101,5:00p,Weber State,Eastern Washington,WEB,EWU,78,84,-6,+9,0,47%,+380,-430,138,138,45%,66%
,,,20150101,5:00p,Eastern Washington,Weber State,EWU,WEB,84,78,6,-9,1,53%,-430,+380,138,138,55%,34%
,,,20150101,9:00p,Northern Colorado,Montana,UNCO,MONT,48,66,-18,+3.5,0,50%,+140,-150,138,138,48%,42%
,,,20150101,9:00p,Montana,Northern Colorado,MONT,UNCO,66,48,18,-3.5,1,50%,-150,+140,138,138,52%,58%
,,,20150101,10:00p,Southern Utah,Portland State,SUU,PRST,68,71,-3,+9,0,46%,+380,-430,143,143,27%,28%
,,,20150101,10:00p,Portland State,Southern Utah,PRST,SUU,71,68,3,-9,1,54%,-430,+380,143,143,73%,72%
,,,20150101,10:05p,Northern Arizona,Sacramento State,NAU,SAC,73,78,-5,+5.5,0,50%,+190,-210,134,134,44%,89%
,,,20150101,10:05p,Sacramento State,Northern Arizona,SAC,NAU,78,73,5,-5.5,1,50%,-210,+190,134,134,56%,11%
,,,20150101,10:00p,Idaho State,Idaho,IDST,IDHO,54,77,-23,+6.5,0,34%,+260,-290,139.5,139.5,32%,39%
,,,20150101,10:00p,Idaho,Idaho State,IDHO,IDST,77,54,23,-6.5,1,66%,-290,+260,139.5,139.5,68%,61%
,,,20150102,7:00p,Canisius,Monmouth,CAN,MONM,54,60,-6,+1.5,0,34%,+108,-118,125.5,125.5,59%,50%
,,,20150102,7:00p,Monmouth,Canisius,MONM,CAN,60,54,6,-1.5,1,66%,-118,+108,125.5,125.5,41%,NaN
,,,20150102,3:00p,Washington State,Stanford,WSU,STAN,56,71,-15,+15,0,54%,+1100,-1400,139.5,139.5,46%,74%
,,,20150102,3:00p,Stanford,Washington State,STAN,WSU,71,56,15,-15,1,46%,-1400,+1100,139.5,139.5,54%,26%
,,,20150102,4:00p,Youngstown State,Illinois-Chicago,YSU,UIC,71,77,-6,-3,0,64%,-150,+140,141.5,141.5,72%,84%
,,,20150102,4:00p,Illinois-Chicago,Youngstown State,UIC,YSU,77,71,6,3,1,36%,+140,-150,141.5,141.5,28%,16%
,,,20150102,7:00p,Milwaukee,Cleveland State,MILW,CLEV,57,84,-27,+9.5,0,50%,+420,-475,126.5,126.5,36%,NaN
