game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20121201,12:00p,Mississippi State,Providence,MSST,PROV,63,73,-10,+12,0,52%,+668,-850,128.5,128.5,49%,59%
,,,20121201,12:00p,Providence,Mississippi State,PROV,MSST,73,63,10,-12,1,48%,-850,+668,128.5,128.5,51%,41%
,,,20121201,12:30p,Baylor,Kentucky,BAY,UK,64,55,9,+6.5,1,48%,+248,-270,149,149,39%,60%
,,,20121201,12:30p,Kentucky,Baylor,UK,BAY,55,64,-9,-6.5,0,52%,-270,+248,149,149,61%,40%
,,,20121201,2:00p,Rutgers,Ole Miss,RUTG,MISS,67,80,-13,+9.5,0,43%,+420,-475,139.5,139.5,29%,19%
,,,20121201,2:00p,Ole Miss,Rutgers,MISS,RUTG,80,67,13,-9.5,1,57%,-475,+420,139.5,139.5,71%,81%
,,,20121201,2:00p,Miami (FL),Massachusetts,MIA,MASS,75,62,13,+1.5,1,47%,+108,-118,148,148,NaN,53%
,,,20121201,2:00p,Massachusetts,Miami (FL),MASS,MIA,62,75,-13,-1.5,0,53%,-118,+108,148,148,NaN,47%
,,,20121201,2:15p,Xavier,Purdue,XAV,PUR,63,57,6,+6.5,1,63%,+255,-280,132.5,132.5,61%,49%
,,,20121201,2:15p,Purdue,Xavier,PUR,XAV,57,63,-6,-6.5,0,37%,-280,+255,132.5,132.5,39%,51%
,,,20121201,3:00p,Alabama,Cincinnati,ALA,CIN,56,58,-2,+7.5,0,51%,+315,-345,130.5,130.5,40%,82%
,,,20121201,3:00p,Cincinnati,Alabama,CIN,ALA,58,56,2,-7.5,1,49%,-345,+315,130.5,130.5,60%,18%
,,,20121201,4:00p,Michigan,Bradley,MICH,BRAD,74,66,8,-12.5,1,51%,-925,+725,137.5,137.5,73%,86%
,,,20121201,4:00p,Bradley,Michigan,BRAD,MICH,66,74,-8,12.5,0,49%,+725,-925,137.5,137.5,27%,14%
,,,20121201,5:00p,Villanova,Vanderbilt,VILL,VAN,62,52,10,+1.5,1,52%,+110,-120,132,132,45%,51%
,,,20121201,5:00p,Vanderbilt,Villanova,VAN,VILL,52,62,-10,-1.5,0,48%,-120,+110,132,132,55%,49%
,,,20121201,6:00p,UAB,North Carolina,UAB,UNC,84,102,-18,+17,0,38%,+1675,-2200,149.5,149.5,21%,19%
,,,20121201,6:00p,North Carolina,UAB,UNC,UAB,102,84,18,-17,1,62%,-2200,+1675,149.5,149.5,79%,81%
,,,20121201,6:30p,Texas A&M,Houston,TXAM,HOU,70,59,11,-4,1,61%,-185,+170,139.5,139.5,70%,75%
,,,20121201,6:30p,Houston,Texas A&M,HOU,TXAM,59,70,-11,4,0,39%,+170,-185,139.5,139.5,30%,25%
,,,20121201,8:00p,Arizona,Texas Tech,ARIZ,TTU,85,57,28,-12,1,59%,-800,+635,148.5,148.5,64%,79%
,,,20121201,8:00p,Texas Tech,Arizona,TTU,ARIZ,57,85,-28,12,0,41%,+635,-800,148.5,148.5,36%,21%
,,,20121201,10:00p,San Diego State,UCLA,SDSU,UCLA,78,69,9,+2.5,1,55%,+125,-135,138,138,52%,59%
,,,20121201,10:00p,UCLA,San Diego State,UCLA,SDSU,69,78,-9,-2.5,0,45%,-135,+125,138,138,48%,41%
,,,20121202,12:00p,Clemson,South Carolina,CLEM,SCAR,64,55,9,-2.5,1,58%,-135,+125,124,124,61%,56%
,,,20121202,12:00p,South Carolina,Clemson,SCAR,CLEM,55,64,-9,2.5,0,42%,+125,-135,124,124,39%,44%
,,,20121202,4:00p,California,Wisconsin,CAL,WIS,56,81,-25,+8,0,59%,+320,-355,127,127,66%,73%
,,,20121202,4:00p,Wisconsin,California,WIS,CAL,81,56,25,-8,1,41%,-355,+320,127,127,34%,27%
,,,20121202,2:30p,Maryland,George Mason,MD,GMU,69,62,7,-5.5,1,63%,-230,+210,132,132,72%,88%
,,,20121202,2:30p,George Mason,Maryland,GMU,MD,62,69,-7,5.5,0,37%,+210,-230,132,132,28%,12%
,,,20121203,7:00p,Eastern Michigan,Syracuse,EMU,SYR,48,84,-36,+24,0,44%,+7000,-18500,124,124,41%,46%
,,,20121203,7:00p,Syracuse,Eastern Michigan,SYR,EMU,84,48,36,-24,1,56%,-18500,+7000,124,124,59%,54%
,,,20121203,8:00p,USC,Nebraska,USC,NEB,51,63,-12,-2,0,43%,-125,+115,120.5,120.5,38%,31%
,,,20121203,8:00p,Nebraska,USC,NEB,USC,63,51,12,2,1,57%,+115,-125,120.5,120.5,62%,69%
,,,20121204,7:00p,Richmond,Old Dominion,RICH,ODU,80,53,27,-5.5,1,59%,-220,+200,129,129,68%,76%
,,,20121204,7:00p,Old Dominion,Richmond,ODU,RICH,53,80,-27,5.5,0,41%,+200,-220,129,129,32%,24%
,,,20121204,7:00p,Texas,Georgetown,TEX,GTWN,41,64,-23,+6.5,0,37%,+250,-275,123,123,29%,31%
,,,20121204,7:00p,Georgetown,Texas,GTWN,TEX,64,41,23,-6.5,1,63%,-275,+250,123,123,71%,69%
,,,20121204,7:00p,Oklahoma,Arkansas,OKLA,ARK,78,81,-3,+5,0,44%,+190,-210,151.5,151.5,41%,36%
,,,20121204,7:00p,Arkansas,Oklahoma,ARK,OKLA,81,78,3,-5,1,56%,-210,+190,151.5,151.5,59%,64%
,,,20121204,7:00p,Georgia,Georgia Tech,UGA,GT,54,62,-8,+6.5,0,58%,+270,-300,113,113,50%,69%
,,,20121204,7:00p,Georgia Tech,Georgia,GT,UGA,62,54,8,-6.5,1,42%,-300,+270,113,113,50%,31%
,,,20121204,8:30p,Western Michigan,Michigan,WMU,MICH,41,73,-32,+21,0,50%,+3500,-8500,131,131,43%,50%
,,,20121204,8:30p,Michigan,Western Michigan,MICH,WMU,73,41,32,-21,1,50%,-8500,+3500,131,131,57%,50%
,,,20121204,9:00p,Northwestern,Baylor,NW,BAY,74,70,4,+10,1,58%,+485,-575,132.5,132.5,46%,51%
,,,20121204,9:00p,Baylor,Northwestern,BAY,NW,70,74,-4,-10,0,42%,-575,+485,132.5,132.5,54%,49%
,,,20121204,9:00p,North Carolina State,Connecticut,NCST,CONN,69,65,4,-4,1,50%,-175,+165,141,141,46%,55%
,,,20121204,9:00p,Connecticut,North Carolina State,CONN,NCST,65,69,-4,4,0,50%,+165,-175,141,141,54%,45%
,,,20121204,11:00p,UNLV,Portland,UNLV,PORT,68,60,8,-14.5,1,61%,-1250,+1025,145,145,81%,68%
,,,20121204,11:00p,Portland,UNLV,PORT,UNLV,60,68,-8,14.5,0,39%,+1025,-1250,145,145,19%,32%
,,,20121204,9:00p,Siena,St. Bonaventure,SIE,SBON,43,58,-15,+13,0,59%,+750,-950,130.5,130.5,NaN,68%
,,,20121204,9:00p,St. Bonaventure,Siena,SBON,SIE,58,43,15,-13,1,41%,-950,+750,130.5,130.5,NaN,32%
,,,20121204,7:00p,Samford,Kentucky,SAM,UK,56,88,-32,+27,0,40%,+8500,-23000,134,134,31%,14%
,,,20121204,7:00p,Kentucky,Samford,UK,SAM,88,56,32,-27,1,60%,-23000,+8500,134,134,69%,86%
,,,20121204,8:00p,South Dakota,Iowa,SDAK,IOWA,63,87,-24,+21.5,0,51%,+2500,-5000,152,152,43%,NaN
,,,20121204,8:00p,Iowa,South Dakota,IOWA,SDAK,87,63,24,-21.5,1,49%,-5000,+2500,152,152,57%,50%
,,,20121204,9:00p,Louisville,Charleston,LOU,COFC,80,38,42,-10.5,1,53%,-540,+460,129.5,129.5,NaN,48%
,,,20121204,9:00p,Charleston,Louisville,COFC,LOU,38,80,-42,10.5,0,47%,+460,-540,129.5,129.5,NaN,NaN
,,,20121204,6:30p,Lamar,Purdue,LAM,PUR,39,72,-33,+22,0,32%,+3750,-9000,137.5,137.5,25%,12%
,,,20121204,6:30p,Purdue,Lamar,PUR,LAM,72,39,33,-22,1,68%,-9000,+3750,137.5,137.5,75%,88%
,,,20121205,9:00p,Penn State,La Salle,PSU,LAS,57,82,-25,+9,0,59%,+360,-450,126.5,126.5,49%,53%
,,,20121205,9:00p,La Salle,Penn State,LAS,PSU,82,57,25,-9,1,41%,-450,+360,126.5,126.5,51%,47%
,,,20121205,7:00p,Florida,Florida State,FLA,FSU,72,47,25,-6,1,63%,-255,+235,136.5,136.5,77%,87%
,,,20121205,7:00p,Florida State,Florida,FSU,FLA,47,72,-25,6,0,37%,+235,-255,136.5,136.5,23%,13%
,,,20121205,7:00p,Ohio,Memphis,OHIO,MEM,58,84,-26,+2.5,0,57%,+130,-140,142,142,35%,33%
,,,20121205,7:00p,Memphis,Ohio,MEM,OHIO,84,58,26,-2.5,1,43%,-140,+130,142,142,65%,67%
,,,20121205,7:30p,Marshall,West Virginia,MRSH,WVU,59,69,-10,+6.5,0,45%,+255,-280,143,143,NaN,35%
,,,20121205,7:30p,West Virginia,Marshall,WVU,MRSH,69,59,10,-6.5,1,55%,-280,+255,143,143,NaN,65%
,,,20121205,9:00p,South Florida,Oklahoma State,USF,OKST,49,61,-12,+10.5,0,52%,+485,-575,124.5,124.5,38%,48%
