distance,season,season_week,year,winlose,week,weekday,hour,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
0.0,2016,30,2017,0,17,1,20,UTA,LAC,0,0,0,3.5,0,57,150.0,-160.0,493.0,493.0,53,33
0.050324802158904065,2015,31,2016,1,18,1,19,MIA,TOR,102,96,6,3.5,1,54,145.0,-165.0,192.0,192.0,51,44
0.09259350236892529,2012,32,2013,1,19,1,20,MEM,OKC,99,93,6,2.5,1,54,135.0,-145.0,188.5,188.5,50,53
0.11392481511265912,2014,31,2015,1,18,1,21,SAS,LAC,111,107,4,2.5,1,48,120.0,-140.0,203.0,203.0,50,47
0.1256747232194856,2012,33,2013,0,20,1,18,NYK,IND,82,93,-11,5.0,0,57,185.0,-200.0,180.0,180.0,54,57
0.1277883420709734,2014,27,2015,1,14,1,21,GSW,LAC,110,106,4,3.5,1,49,145.0,-155.0,219.0,219.0,53,50
0.13185508094298096,2015,27,2016,0,14,1,18,NOP,PHI,93,107,-14,2.5,0,51,122.0,-132.0,207.0,207.0,56,30
0.13218873395413802,2012,29,2013,1,16,1,19,TOR,ATL,113,96,17,5.0,1,50,195.0,-215.0,195.5,195.5,47,45
0.14155784905007493,2013,27,2014,0,14,1,19,HOU,BKN,96,105,-9,3.5,0,47,153.0,-163.0,210.0,210.0,52,44
0.14923595219459135,2015,27,2016,0,14,1,19,DET,MIA,89,107,-18,4.5,0,47,160.0,-185.0,202.0,202.0,54,50
0.15051857671806723,2012,27,2013,0,14,1,21,DAL,LAL,81,101,-20,3.5,0,52,145.0,-155.0,208.0,208.0,44,50
0.15453152622045777,2014,33,2015,0,20,1,18,CHI,CLE,101,106,-5,5.5,0,55,210.0,-250.0,190.5,190.5,53,54
0.15605760790640577,2013,27,2014,1,14,1,19,GSW,DAL,122,120,2,5.0,1,52,185.0,-200.0,206.5,206.5,46,42
0.1570189903226003,2015,27,2016,0,14,1,18,CHA,TOR,90,96,-6,5.5,0,50,190.0,-210.0,201.0,201.0,54,46
0.16340281262738274,2012,27,2013,0,14,1,18,CHI,WAS,86,90,-4,2.5,0,53,125.0,-135.0,187.5,187.5,63,46
0.16764096796958716,2012,34,2013,0,21,1,20,MEM,SAS,89,93,-4,5.0,0,52,200.0,-220.0,181.0,181.0,51,51
0.17172102320512608,2012,26,2013,1,13,1,18,NYK,BOS,100,85,15,2.5,1,49,130.0,-140.0,194.0,194.0,48,57
0.1744508622040785,2013,31,2014,1,18,1,19,WAS,CHI,75,69,6,3.5,1,54,155.0,-165.0,183.5,183.5,68,49
0.17478237866580543,2013,31,2014,0,18,2,18,BKN,TOR,113,115,-2,3.0,0,54,130.0,-150.0,189.0,189.0,53,60
0.17666590691608677,2014,30,2015,1,17,1,19,WAS,TOR,117,106,11,5.0,1,46,180.0,-220.0,193.5,193.5,43,50
0.17686792129798895,2012,32,2013,0,19,1,18,IND,NYK,79,105,-26,6.0,0,56,225.0,-245.0,183.5,183.5,61,57
0.17707272152229944,2012,31,2013,1,18,1,21,MEM,LAC,103,93,10,5.5,1,46,220.0,-240.0,180.5,180.5,47,40
0.18414156553597413,2015,26,2016,0,13,1,18,OKC,DET,82,88,-6,2.0,0,55,110.0,-130.0,214.0,214.0,62,63
0.18487221033743279,2012,30,2013,0,17,1,19,BOS,NYK,71,87,-16,6.5,0,59,255.0,-280.0,186.5,186.5,58,57
0.18563016858936485,2015,26,2016,1,13,1,18,CHI,IND,98,96,2,5.5,1,53,200.0,-240.0,204.5,204.5,58,72
0.18712907813782392,2012,28,2013,1,15,2,19,BKN,BOS,101,93,8,3.0,1,56,135.0,-145.0,190.5,190.5,57,53
0.18761938927591806,2013,30,2014,0,17,1,18,BKN,TOR,95,100,-5,5.0,0,48,185.0,-200.0,190.5,190.5,40,48
0.1902633977156993,2014,30,2015,0,17,1,20,DAL,HOU,99,111,-12,6.5,0,49,230.0,-270.0,214.0,214.0,48,44
0.19109003444284914,2014,31,2015,0,18,0,21,MEM,POR,92,99,-7,4.0,0,52,155.0,-175.0,193.0,193.0,59,52
0.19257367803996722,2015,29,2016,0,16,1,18,BOS,ATL,72,89,-17,6.5,0,56,225.0,-265.0,205.5,205.5,62,48
0.19293844264385254,2013,29,2014,1,16,0,21,MEM,PHX,97,91,6,4.0,1,53,159.0,-169.0,194.0,194.0,46,50
0.19354897404907384,2013,32,2014,1,19,0,18,WAS,IND,102,96,6,4.0,1,53,157.0,-167.0,183.5,183.5,58,50
0.19623726617781778,2015,32,2016,0,19,2,19,MIA,TOR,91,99,-8,5.0,0,55,175.0,-210.0,189.0,189.0,54,48
0.1965141716450928,2014,32,2015,1,19,0,18,CHI,CLE,99,92,7,4.5,1,55,170.0,-200.0,195.5,195.5,48,52
0.19772216407041537,2012,29,2013,0,16,0,18,WAS,BKN,101,106,-5,4.5,0,57,165.0,-175.0,190.0,190.0,61,50
0.19832410580048793,2014,27,2015,1,14,0,18,BOS,CHA,116,104,12,3.0,1,54,135.0,-155.0,195.5,195.5,52,56
0.20033528796374378,2014,29,2015,1,16,2,21,SAC,LAL,122,99,23,3.5,1,48,150.0,-160.0,206.5,206.5,48,53
0.20121471483793466,2015,27,2016,1,14,2,18,DET,ORL,108,104,4,3.0,1,54,130.0,-150.0,208.5,208.5,56,66
0.20124315856894126,2013,31,2014,0,18,2,20,POR,HOU,98,108,-10,4.5,0,58,175.0,-210.0,214.5,214.5,61,54
0.20212041963530397,2013,29,2014,0,16,2,19,DAL,MEM,105,106,-1,3.0,0,48,135.0,-145.0,190.5,190.5,48,50
0.2051342159813219,2013,35,2014,0,22,1,20,SAS,OKC,92,105,-13,2.5,0,53,122.0,-132.0,207.5,207.5,44,57
0.20619402831987177,2012,31,2013,0,18,0,18,IND,ATL,91,102,-11,1.5,0,54,107.0,-117.0,187.0,187.0,48,58
0.2064333975902123,2014,29,2015,1,16,2,19,MIA,PHI,105,101,4,2.0,1,51,115.0,-125.0,192.0,192.0,59,57
0.20712380419132834,2014,30,2015,1,17,2,21,SAS,LAC,111,107,4,2.0,1,50,110.0,-130.0,206.5,206.5,47,46
