distance,season,season_week,year,winlose,week,weekday,hour,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
0.0,2016,30,2017,0,17,1,19,MEM,SAS,0,0,0,10.0,0,53,540.0,-606.0,469.0,469.0,43,97
0.10635388185505057,2013,29,2014,0,16,1,21,DEN,LAC,105,117,-12,10.5,0,49,450.0,-525.0,221.5,221.5,43,45
0.14825969083232207,2014,32,2015,1,19,1,21,MEM,GSW,97,90,7,10.0,1,52,550.0,-800.0,198.0,198.0,43,48
0.16183996206941603,2015,31,2016,0,18,1,21,POR,GSW,99,110,-11,9.0,0,48,400.0,-500.0,212.0,212.0,38,42
0.18210461833469008,2012,28,2013,0,15,1,18,WAS,NYK,99,120,-21,8.5,0,50,400.0,-450.0,197.5,197.5,43,35
0.18468622795513964,2015,28,2016,0,15,1,18,NYK,IND,90,102,-12,11.0,0,43,525.0,-750.0,197.0,197.0,51,47
0.18577119507616124,2012,30,2013,0,17,2,20,LAL,SAS,91,102,-11,9.0,0,53,468.0,-550.0,188.5,188.5,42,50
0.18908722002794737,2014,25,2015,0,12,1,19,ORL,HOU,94,107,-13,11.0,0,50,535.0,-650.0,207.0,207.0,37,40
0.1964219096492825,2013,29,2014,0,16,0,19,ORL,CHI,95,108,-13,11.0,0,50,575.0,-710.0,182.0,182.0,46,50
0.2047725006369327,2012,30,2013,1,17,1,21,GSW,DEN,131,117,14,8.5,1,48,375.0,-420.0,208.0,208.0,47,44
0.20506189973562605,2014,27,2015,0,14,2,18,PHI,WAS,93,106,-13,10.0,0,53,485.0,-575.0,190.5,190.5,47,47
0.20982258681328622,2014,29,2015,0,16,2,18,CHA,TOR,87,92,-5,10.5,0,45,450.0,-600.0,194.0,194.0,38,36
0.21305740478413457,2013,27,2014,0,14,2,18,DET,IND,94,101,-7,10.5,0,47,515.0,-620.0,191.0,191.0,38,37
0.21469451952420254,2013,30,2014,0,17,2,18,CHA,MIA,97,101,-4,9.5,0,52,450.0,-600.0,187.5,187.5,53,50
0.21583287050698696,2012,27,2013,0,14,0,18,CLE,ATL,94,102,-8,11.0,0,52,575.0,-710.0,201.5,201.5,46,44
0.21600018899988532,2012,24,2013,0,11,1,18,ATL,MIA,81,98,-17,9.5,0,51,460.0,-540.0,197.0,197.0,44,50
0.21779097253469717,2012,28,2013,0,15,1,21,NOP,LAL,96,104,-8,8.5,0,47,375.0,-420.0,193.5,193.5,39,50
0.22006033363487956,2014,32,2015,0,19,1,19,WAS,ATL,90,106,-16,9.0,0,55,390.0,-490.0,199.0,199.0,56,49
0.22278828434058087,2015,28,2016,0,15,2,19,NOP,MIN,109,144,-35,9.5,0,47,415.0,-525.0,212.5,212.5,45,86
0.22620945851105154,2013,29,2014,0,16,0,18,MIL,TOR,100,110,-10,10.5,0,53,515.0,-620.0,204.5,204.5,30,34
0.22774878366332535,2012,31,2013,1,18,2,20,HOU,OKC,107,100,7,8.5,1,49,420.0,-475.0,208.0,208.0,44,41
0.23004251479586885,2015,28,2016,0,15,2,19,PHI,CHI,105,115,-10,9.5,0,52,420.0,-475.0,210.0,210.0,48,48
0.23221757892834682,2014,33,2015,0,20,2,21,MEM,GSW,78,98,-20,10.0,0,50,450.0,-600.0,198.0,198.0,52,50
0.2327600608835179,2015,28,2016,0,15,1,21,MEM,LAC,84,110,-26,9.0,0,46,335.0,-420.0,200.0,200.0,45,44
0.2364565309617974,2013,26,2014,0,13,0,19,DEN,OKC,96,117,-21,11.0,0,56,568.0,-700.0,216.0,216.0,38,50
0.2374409366331317,2012,27,2013,0,14,0,20,POR,UTA,102,112,-10,10.5,0,49,540.0,-660.0,200.0,200.0,54,50
0.23970871248701037,2014,34,2015,0,21,1,20,HOU,GSW,106,110,-4,10.5,0,69,475.0,-650.0,220.0,220.0,52,54
0.23983389383809364,2014,28,2015,0,15,2,20,LAL,DEN,101,119,-18,9.5,0,52,435.0,-500.0,205.0,205.0,53,58
0.24005859789907993,2015,24,2016,0,11,1,19,LAC,SAS,87,108,-21,9.5,0,53,400.0,-500.0,201.0,201.0,43,55
0.24026878870236248,2014,30,2015,0,17,2,18,BKN,ATL,91,96,-5,9.0,0,52,425.0,-550.0,203.0,203.0,55,61
