game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,pick_sportsplays,spread_percentage_sportsplays,spread_percentage_vegas
,2012,1,20120905,7:30p,Dallas,N.Y. Giants,DAL,NYG,24,17,7,3.5,1,40,172,-187,45.5,45.5,39418,41,29
,2012,1,20120905,7:30p,N.Y. Giants,Dallas,NYG,DAL,17,24,-7,-3.5,0,60,-187,172,45.5,45.5,57457,59,71
,2012,1,20120909,12:00p,Indianapolis,Chicago,IND,CHI,21,41,-20,10,0,59,405,-455,41.5,41.5,42661,37,43
,2012,1,20120909,12:00p,Chicago,Indianapolis,CHI,IND,41,21,20,-10,1,41,-455,405,41.5,41.5,72262,63,57
,2012,1,20120909,12:00p,Philadelphia,Cleveland,PHI,CLE,17,16,1,-8.5,1,57,-405,360,42,42,79472,75,64
,2012,1,20120909,12:00p,Cleveland,Philadelphia,CLE,PHI,16,17,-1,8.5,0,43,360,-405,42,42,26575,25,36
,2012,1,20120909,12:00p,Buffalo,N.Y. Jets,BUF,NYJ,28,48,-20,3,0,46,133,-143,39.5,39.5,65551,57,46
,2012,1,20120909,12:00p,N.Y. Jets,Buffalo,NYJ,BUF,48,28,20,-3,1,54,-143,133,39.5,39.5,48451,43,54
,2012,1,20120909,12:00p,Washington,New Orleans,WAS,NO,40,32,8,8,1,41,325,-360,50.5,50.5,29376,24,21
,2012,1,20120909,12:00p,New Orleans,Washington,NO,WAS,32,40,-8,-8,0,59,-360,325,50.5,50.5,95321,76,79
,2012,1,20120909,12:00p,New England,Tennessee,NE,TEN,34,13,21,-5,1,68,-225,205,48,48,93529,81,72
,2012,1,20120909,12:00p,Tennessee,New England,TEN,NE,13,34,-21,5,0,32,205,-225,48,48,21575,19,28
,2012,1,20120909,12:00p,Jacksonville,Minnesota,JAC,MIN,23,26,-3,3.5,0,46,175,-190,38,38,23664,43,37
,2012,1,20120909,12:00p,Minnesota,Jacksonville,MIN,JAC,26,23,3,-3.5,1,54,-190,175,38,38,31451,57,63
,2012,1,20120909,12:00p,Miami,Houston,MIA,HOU,10,30,-20,13,0,45,650,-825,41.5,41.5,23787,20,23
,2012,1,20120909,12:00p,Houston,Miami,HOU,MIA,30,10,20,-13,1,55,-825,650,41.5,41.5,98157,80,77
,2012,1,20120909,12:00p,Los Angeles,Detroit,LA,DET,23,27,-4,7.5,0,43,325,-360,46,46,20663,20,25
,2012,1,20120909,12:00p,Detroit,Los Angeles,DET,LA,27,23,4,-7.5,1,57,-360,325,46,46,80650,80,75
,2012,1,20120909,12:00p,Atlanta,Kansas City,ATL,KC,40,24,16,-2.5,1,63,-127,117,43,43,61723,68,72
,2012,1,20120909,12:00p,Kansas City,Atlanta,KC,ATL,24,40,-16,2.5,0,37,117,-127,43,43,28778,32,28
,2012,1,20120909,3:25p,San Francisco,Green Bay,SF,GB,30,22,8,6,1,48,240,-260,46.5,46.5,42763,39,37
,2012,1,20120909,3:25p,Green Bay,San Francisco,GB,SF,22,30,-8,-6,0,52,-260,240,46.5,46.5,65934,61,63
,2012,1,20120909,3:25p,Carolina,Tampa Bay,CAR,TB,10,16,-6,-3,0,61,-160,150,45.5,45.5,57960,72,81
,2012,1,20120909,3:25p,Tampa Bay,Carolina,TB,CAR,16,10,6,3,1,39,150,-160,45.5,45.5,22019,28,19
,2012,1,20120909,3:25p,Seattle,Arizona,SEA,ARI,16,20,-4,-2.5,0,65,-135,125,41,41,61628,66,75
,2012,1,20120909,3:25p,Arizona,Seattle,ARI,SEA,20,16,4,2.5,1,35,125,-135,41,41,31550,34,25
,2012,1,20120909,7:20p,Pittsburgh,Denver,PIT,DEN,19,31,-12,2.5,0,43,128,-138,45.5,45.5,45872,40,32
,2012,1,20120909,7:20p,Denver,Pittsburgh,DEN,PIT,31,19,12,-2.5,1,57,-138,128,45.5,45.5,69101,60,68
,2012,1,20120910,6:00p,Cincinnati,Baltimore,CIN,BAL,13,44,-31,7,0,52,285,-315,43,43,42759,38,37
,2012,1,20120910,6:00p,Baltimore,Cincinnati,BAL,CIN,44,13,31,-7,1,48,-315,285,43,43,70674,62,63
,2012,1,20120910,9:15p,San Diego,Oakland,SD,OAK,22,14,8,1,1,57,104,-114,47.5,47.5,45103,55,44
,2012,1,20120910,9:15p,Oakland,San Diego,OAK,SD,14,22,-8,-1,0,43,-114,104,47.5,47.5,36720,45,56
,2012,2,20120913,7:20p,Chicago,Green Bay,CHI,GB,10,23,-13,5,0,45,210,-230,50.5,50.5,46981,42,45
,2012,2,20120913,7:20p,Green Bay,Chicago,GB,CHI,23,10,13,-5,1,55,-230,210,50.5,50.5,63985,58,55
,2012,2,20120916,12:00p,Tampa Bay,N.Y. Giants,TB,NYG,34,41,-7,7.5,0,48,320,-355,43.5,43.5,28237,30,22
,2012,2,20120916,12:00p,N.Y. Giants,Tampa Bay,NYG,TB,41,34,7,-7.5,1,52,-355,320,43.5,43.5,65264,70,78
,2012,2,20120916,12:00p,Arizona,New England,ARI,NE,20,18,2,13,1,42,550,-675,47,47,14512,15,12
,2012,2,20120916,12:00p,New England,Arizona,NE,ARI,18,20,-2,-13,0,58,-675,550,47,47,79223,85,88
,2012,2,20120916,12:00p,Minnesota,Indianapolis,MIN,IND,20,23,-3,-2.5,0,46,-137,127,45.5,45.5,30205,43,48
,2012,2,20120916,12:00p,Indianapolis,Minnesota,IND,MIN,23,20,3,2.5,1,54,127,-137,45.5,45.5,40761,57,52
,2012,2,20120916,12:00p,New Orleans,Carolina,NO,CAR,27,35,-8,-3,0,64,-150,140,53.5,53.5,61663,75,80
,2012,2,20120916,12:00p,Carolina,New Orleans,CAR,NO,35,27,8,3,1,36,140,-150,53.5,53.5,20406,25,20
,2012,2,20120916,12:00p,Kansas City,Buffalo,KC,BUF,17,35,-18,3,0,56,145,-155,45,45,31117,60,52
,2012,2,20120916,12:00p,Buffalo,Kansas City,BUF,KC,35,17,18,-3,1,44,-155,145,45,45,20913,40,48
,2012,2,20120916,12:00p,Baltimore,Philadelphia,BAL,PHI,23,24,-1,3,0,64,145,-155,46.5,46.5,76328,78,71
,2012,2,20120916,12:00p,Philadelphia,Baltimore,PHI,BAL,24,23,1,-3,1,36,-155,145,46.5,46.5,22156,22,29
,2012,2,20120916,3:05p,Dallas,Seattle,OAK,MIA,7,27,-20,-1.5,0,63,-121,111,41,41,72506,78,77
,2012,2,20120916,3:05p,Seattle,Dallas,MIA,OAK,27,7,20,1.5,1,37,111,-121,41,41,20775,22,23
,2012,2,20120916,3:05p,Washington,Los Angeles,WAS,LA,28,31,-3,-3.5,0,62,-190,175,42,42,52752,72,69
,2012,2,20120916,3:05p,Los Angeles,Washington,LA,WAS,31,28,3,3.5,1,38,175,-190,42,42,20960,28,31
,2012,2,20120916,3:25p,N.Y. Jets,Pittsburgh,NYJ,PIT,10,27,-17,4.5,0,41,190,-210,43.5,43.5,35138,40,36
,2012,2,20120916,3:25p,Pittsburgh,N.Y. Jets,PIT,NYJ,27,10,17,-4.5,1,59,-210,190,43.5,43.5,53003,60,64
,2012,2,20120916,3:25p,Tennessee,San Diego,TEN,SD,10,38,-28,7,0,47,220,-240,43.5,43.5,16175,27,28
,2012,2,20120916,3:25p,San Diego,Tennessee,SD,TEN,38,10,28,-7,1,53,-240,220,43.5,43.5,44690,73,72
,2012,2,20120916,7:20p,Detroit,San Francisco,DET,SF,19,27,-8,7.5,0,50,250,-300,46,46,39626,30,35
,2012,2,20120916,7:20p,San Francisco,Detroit,SF,DET,27,19,8,-7.5,1,50,-300,250,46,46,92079,70,65
,2012,2,20120917,7:30p,Denver,Atlanta,DEN,ATL,21,27,-6,3,0,50,147,-157,49.5,49.5,67123,54,49
,2012,2,20120917,7:30p,Atlanta,Denver,ATL,DEN,27,21,6,-3,1,50,-157,147,49.5,49.5,57669,46,51
,2012,3,20120920,7:20p,N.Y. Giants,Carolina,NYG,CAR,36,7,29,2.5,1,47,140,-150,48.5,48.5,34803,51,40
,2012,3,20120920,7:20p,Carolina,N.Y. Giants,CAR,NYG,7,36,-29,-2.5,0,53,-150,140,48.5,48.5,33369,49,60
,2012,3,20120923,12:00p,Los Angeles,Chicago,LA,CHI,6,23,-17,7,0,57,275,-305,42,42,28207,47,38
,2012,3,20120923,12:00p,Chicago,Los Angeles,CHI,LA,23,6,17,-7,1,43,-305,275,42,42,32412,53,62
,2012,3,20120923,12:00p,Tampa Bay,Dallas,TB,DAL,10,16,-6,7.5,0,57,290,-320,45.5,45.5,37363,47,40
,2012,3,20120923,12:00p,Dallas,Tampa Bay,DAL,TB,16,10,6,-7.5,1,43,-320,290,45.5,45.5,42271,53,60
,2012,3,20120923,12:00p,San Francisco,Minnesota,SF,MIN,13,24,-11,-6.5,0,64,-295,265,42.5,42.5,70122,80,74
,2012,3,20120923,12:00p,Minnesota,San Francisco,MIN,SF,24,13,11,6.5,1,36,265,-295,42.5,42.5,17973,20,26
,2012,3,20120923,12:00p,Detroit,Tennessee,DET,TEN,41,44,-3,-4,0,66,-190,175,47,47,52132,78,85
,2012,3,20120923,12:00p,Tennessee,Detroit,TEN,DET,44,41,3,4,1,34,175,-190,47,47,14724,22,15
,2012,3,20120923,12:00p,Cincinnati,Washington,CIN,WAS,38,31,7,3,1,51,165,-175,49.5,49.5,32664,45,39
,2012,3,20120923,12:00p,Washington,Cincinnati,WAS,CIN,31,38,-7,-3,0,49,-175,165,49.5,49.5,39432,55,61
,2012,3,20120923,12:00p,N.Y. Jets,Miami,NYJ,MIA,23,20,3,-2.5,1,68,-145,135,40.5,40.5,60323,74,84
,2012,3,20120923,12:00p,Miami,N.Y. Jets,MIA,NYJ,20,23,-3,2.5,0,32,135,-145,40.5,40.5,21489,26,16
,2012,3,20120923,12:00p,Kansas City,New Orleans,KC,NO,27,24,3,8,1,54,345,-385,51,51,16311,25,23
,2012,3,20120923,12:00p,New Orleans,Kansas City,NO,KC,24,27,-3,-8,0,46,-385,345,51,51,48106,75,77
,2012,3,20120923,12:00p,Buffalo,Cleveland,BUF,CLE,24,14,10,-2.5,1,58,-138,128,45,45,33260,56,62
,2012,3,20120923,12:00p,Cleveland,Buffalo,CLE,BUF,14,24,-10,2.5,0,42,128,-138,45,45,26203,44,38
,2012,3,20120923,12:00p,Jacksonville,Indianapolis,JAC,IND,22,17,5,3,1,36,165,-175,42,42,16190,28,24
,2012,3,20120923,12:00p,Indianapolis,Jacksonville,IND,JAC,17,22,-5,-3,0,64,-175,165,42,42,40962,72,76
,2012,3,20120923,3:05p,Philadelphia,Arizona,PHI,ARI,6,27,-21,-3,0,47,-175,165,42.5,42.5,34694,49,57
,2012,3,20120923,3:05p,Arizona,Philadelphia,ARI,PHI,27,6,21,3,1,53,165,-175,42.5,42.5,36361,51,43
,2012,3,20120923,3:05p,Atlanta,San Diego,ATL,SD,27,3,24,3,1,56,148,-158,47,47,44876,67,63
,2012,3,20120923,3:05p,San Diego,Atlanta,SD,ATL,3,27,-24,-3,0,44,-158,148,47,47,22368,33,37
,2012,3,20120923,3:25p,Houston,Denver,HOU,DEN,31,25,6,-1,1,52,-116,106,43.5,43.5,45951,61,59
,2012,3,20120923,3:25p,Denver,Houston,DEN,HOU,25,31,-6,1,0,48,106,-116,43.5,43.5,29740,39,41
,2012,3,20120923,3:25p,Pittsburgh,Oakland,PIT,OAK,31,34,-3,-4,0,66,-200,185,45.5,45.5,57956,77,76
,2012,3,20120923,3:25p,Oakland,Pittsburgh,OAK,PIT,34,31,3,4,1,34,185,-200,45.5,45.5,17548,23,24
,2012,3,20120923,7:20p,New England,Baltimore,NE,BAL,30,31,-1,1.5,0,48,132,-152,48.5,48.5,46128,47,46
,2012,3,20120923,7:20p,Baltimore,New England,BAL,NE,31,30,1,-1.5,1,52,-152,132,48.5,48.5,52206,53,54
,2012,3,20120924,7:30p,Green Bay,Seattle,GB,SEA,12,14,-2,-3.5,0,63,-175,155,45.5,45.5,80448,75,72
,2012,3,20120924,7:30p,Seattle,Green Bay,SEA,GB,14,12,2,3.5,1,37,155,-175,45.5,45.5,27260,25,28
,2012,4,20120927,7:20p,Cleveland,Baltimore,CLE,BAL,16,23,-7,11.5,0,47,480,-570,43.5,43.5,22088,32,31
,2012,4,20120927,7:20p,Baltimore,Cleveland,BAL,CLE,23,16,7,-11.5,1,53,-570,480,43.5,43.5,47992,68,69
,2012,4,20120930,12:00p,New England,Buffalo,NE,BUF,52,28,24,-3.5,1,65,-190,175,48,48,86297,77,81
,2012,4,20120930,12:00p,Buffalo,New England,BUF,NE,28,52,-24,3.5,0,35,175,-190,48,48,25527,23,19
,2012,4,20120930,12:00p,Minnesota,Detroit,MIN,DET,20,13,7,3.5,1,41,175,-190,48,48,23230,38,43
,2012,4,20120930,12:00p,Detroit,Minnesota,DET,MIN,13,20,-7,-3.5,0,59,-190,175,48,48,38166,62,57
,2012,4,20120930,12:00p,Carolina,Atlanta,CAR,ATL,28,30,-2,7,0,47,265,-295,47.5,47.5,25268,27,34
,2012,4,20120930,12:00p,Atlanta,Carolina,ATL,CAR,30,28,2,-7,1,53,-295,265,47.5,47.5,66886,73,66
,2012,4,20120930,12:00p,San Francisco,N.Y. Jets,SF,NYJ,34,0,34,-3.5,1,64,-190,175,40.5,40.5,77025,75,83
,2012,4,20120930,12:00p,N.Y. Jets,San Francisco,NYJ,SF,0,34,-34,3.5,0,36,175,-190,40.5,40.5,25867,25,17
,2012,4,20120930,12:00p,San Diego,Kansas City,SD,KC,37,20,17,-2.5,1,54,-127,117,43.5,43.5,44556,62,78
,2012,4,20120930,12:00p,Kansas City,San Diego,KC,SD,20,37,-17,2.5,0,46,117,-127,43.5,43.5,26953,38,22
,2012,4,20120930,12:00p,Tennessee,Houston,TEN,HOU,14,38,-24,13.5,0,56,570,-705,44.5,44.5,26001,32,29
,2012,4,20120930,12:00p,Houston,Tennessee,HOU,TEN,38,14,24,-13.5,1,44,-705,570,44.5,44.5,54601,68,71
,2012,4,20120930,12:00p,Seattle,Los Angeles,SEA,LA,13,19,-6,-2.5,0,54,-128,118,39,39,33704,50,67
,2012,4,20120930,12:00p,Los Angeles,Seattle,LA,SEA,19,13,6,2.5,1,46,118,-128,39,39,34148,50,33
,2012,4,20120930,3:05p,Miami,Arizona,MIA,ARI,21,24,-3,4,0,40,185,-200,39,39,20155,26,23
,2012,4,20120930,3:05p,Arizona,Miami,ARI,MIA,24,21,3,-4,1,60,-200,185,39,39,56771,74,77
,2012,4,20120930,3:05p,Oakland,Denver,OAK,DEN,6,37,-31,6.5,0,55,250,-275,47,47,24444,37,49
,2012,4,20120930,3:05p,Denver,Oakland,DEN,OAK,37,6,31,-6.5,1,45,-275,250,47,47,41577,63,51
,2012,4,20120930,3:05p,Cincinnati,Jacksonville,CIN,JAC,27,10,17,2,1,64,113,-123,45.5,45.5,58248,79,75
,2012,4,20120930,3:05p,Jacksonville,Cincinnati,JAC,CIN,10,27,-17,-2,0,36,-123,113,45.5,45.5,15848,21,25
,2012,4,20120930,3:25p,New Orleans,Green Bay,NO,GB,27,28,-1,7.5,0,54,295,-325,54,54,34662,44,41
,2012,4,20120930,3:25p,Green Bay,New Orleans,GB,NO,28,27,1,-7.5,1,46,-325,295,54,54,44686,56,59
,2012,4,20120930,3:25p,Washington,Tampa Bay,WAS,TB,24,22,2,2,1,54,118,-128,44.5,44.5,43221,63,59
,2012,4,20120930,3:25p,Tampa Bay,Washington,TB,WAS,22,24,-2,-2,0,46,-128,118,44.5,44.5,25086,37,41
,2012,4,20120930,7:20p,N.Y. Giants,Philadelphia,NYG,PHI,17,19,-2,1.5,0,55,107,-117,46,46,89394,69,63
,2012,4,20120930,7:20p,Philadelphia,N.Y. Giants,PHI,NYG,19,17,2,-1.5,1,45,-117,107,46,46,40133,31,37
,2012,4,20121001,7:30p,Chicago,Dallas,CHI,DAL,34,18,16,3,1,44,145,-155,41,41,44243,41,37
,2012,4,20121001,7:30p,Dallas,Chicago,DAL,CHI,18,34,-16,-3,0,56,-155,145,41,41,63124,59,63
,2012,5,20121004,7:20p,Arizona,Los Angeles,ARI,LA,3,17,-14,-1.5,0,53,-115,105,37.5,37.5,48885,58,52
,2012,5,20121004,7:20p,Los Angeles,Arizona,LA,ARI,17,3,14,1.5,1,47,105,-115,37.5,37.5,35892,42,48
,2012,5,20121007,12:00p,Atlanta,Washington,ATL,WAS,24,17,7,-3,1,59,-158,148,51,51,67332,66,73
,2012,5,20121007,12:00p,Washington,Atlanta,WAS,ATL,17,24,-7,3,0,41,148,-158,51,51,33950,34,27
,2012,5,20121007,12:00p,Philadelphia,Pittsburgh,PHI,PIT,14,16,-2,4,0,41,185,-200,44,44,32528,34,32
,2012,5,20121007,12:00p,Pittsburgh,Philadelphia,PIT,PHI,16,14,2,-4,1,59,-200,185,44,44,63480,66,68
,2012,5,20121007,12:00p,Green Bay,Indianapolis,GB,IND,27,30,-3,-6.5,0,59,-260,240,49.5,49.5,72851,81,69
,2012,5,20121007,12:00p,Indianapolis,Green Bay,IND,GB,30,27,3,6.5,1,41,240,-260,49.5,49.5,17481,19,31
,2012,5,20121007,12:00p,Cleveland,N.Y. Giants,CLE,NYG,27,41,-14,7.5,0,56,348,-390,43.5,43.5,31445,35,39
,2012,5,20121007,12:00p,N.Y. Giants,Cleveland,NYG,CLE,41,27,14,-7.5,1,44,-390,348,43.5,43.5,58393,65,61
,2012,5,20121007,3:25p,Tennessee,Minnesota,TEN,MIN,7,30,-23,6,0,52,235,-255,43.5,43.5,30552,40,50
,2012,5,20121007,3:25p,Minnesota,Tennessee,MIN,TEN,30,7,23,-6,1,48,-255,235,43.5,43.5,45825,60,50
,2012,5,20121007,12:00p,Miami,Cincinnati,MIA,CIN,17,13,4,3,1,43,140,-150,45,45,27587,29,25
,2012,5,20121007,12:00p,Cincinnati,Miami,CIN,MIA,13,17,-4,-3,0,57,-150,140,45,45,69031,71,75
,2012,5,20121007,12:00p,Baltimore,Kansas City,BAL,KC,9,6,3,-6,1,56,-255,235,46.5,46.5,64647,75,69
,2012,5,20121007,12:00p,Kansas City,Baltimore,KC,BAL,6,9,-3,6,0,44,235,-255,46.5,46.5,21458,25,31
,2012,5,20121007,3:05p,Seattle,Carolina,SEA,CAR,16,12,4,1,1,41,107,-127,42.5,42.5,24995,35,53
,2012,5,20121007,3:05p,Carolina,Seattle,CAR,SEA,12,16,-4,-1,0,59,-127,107,42.5,42.5,45872,65,47
,2012,5,20121007,3:05p,Chicago,Jacksonville,CHI,JAC,41,3,38,-6,1,60,-245,225,39,39,62104,80,87
,2012,5,20121007,3:05p,Jacksonville,Chicago,JAC,CHI,3,41,-38,6,0,40,225,-245,39,39,15830,20,13
,2012,5,20121007,3:25p,Denver,New England,DEN,NE,21,31,-10,6,0,51,240,-260,50.5,50.5,37690,43,44
,2012,5,20121007,3:25p,New England,Denver,NE,DEN,31,21,10,-6,1,49,-260,240,50.5,50.5,49661,57,56
,2012,5,20121007,3:25p,Buffalo,San Francisco,BUF,SF,3,45,-42,10,0,50,420,-475,45.5,45.5,23190,27,22
,2012,5,20121007,3:25p,San Francisco,Buffalo,SF,BUF,45,3,42,-10,1,50,-475,420,45.5,45.5,63463,73,78
,2012,5,20121007,7:20p,San Diego,New Orleans,SD,NO,24,31,-7,3.5,0,42,165,-190,53.5,53.5,36479,34,30
,2012,5,20121007,7:20p,New Orleans,San Diego,NO,SD,31,24,7,-3.5,1,58,-190,165,53.5,53.5,72335,66,70
,2012,5,20121008,7:30p,Houston,N.Y. Jets,HOU,NYJ,23,17,6,-10.5,1,53,-440,350,40,40,102151,72,68
,2012,5,20121008,7:30p,N.Y. Jets,Houston,NYJ,HOU,17,23,-6,10.5,0,47,350,-440,40,40,39925,28,32
,2012,6,20121011,7:20p,Pittsburgh,Tennessee,PIT,TEN,23,26,-3,-5.5,0,59,-235,215,42.5,42.5,59984,74,64
,2012,6,20121011,7:20p,Tennessee,Pittsburgh,TEN,PIT,26,23,3,5.5,1,41,215,-235,42.5,42.5,21510,26,36
,2012,6,20121014,12:00p,Cincinnati,Cleveland,CIN,CLE,24,34,-10,-1.5,0,57,-118,108,42,42,55341,65,65
,2012,6,20121014,12:00p,Cleveland,Cincinnati,CLE,CIN,34,24,10,1.5,1,43,108,-118,42,42,30197,35,35
,2012,6,20121014,12:00p,Indianapolis,N.Y. Jets,IND,NYJ,9,35,-26,3.5,0,49,175,-190,43.5,43.5,43344,48,34
,2012,6,20121014,12:00p,N.Y. Jets,Indianapolis,NYJ,IND,35,9,26,-3.5,1,51,-190,175,43.5,43.5,46794,52,66
,2012,6,20121014,12:00p,Kansas City,Tampa Bay,KC,TB,10,38,-28,5,0,49,210,-230,39.5,39.5,30396,40,45
,2012,6,20121014,12:00p,Tampa Bay,Kansas City,TB,KC,38,10,28,-5,1,51,-230,210,39.5,39.5,45637,60,55
,2012,6,20121014,12:00p,Oakland,Atlanta,OAK,ATL,20,23,-3,10,0,47,410,-460,49,49,27555,25,24
,2012,6,20121014,12:00p,Atlanta,Oakland,ATL,OAK,23,20,3,-10,1,53,-460,410,49,49,82307,75,76
,2012,6,20121014,12:00p,Dallas,Baltimore,DAL,BAL,29,31,-2,3,0,46,155,-165,45.5,45.5,44231,38,41
,2012,6,20121014,12:00p,Baltimore,Dallas,BAL,DAL,31,29,2,-3,1,54,-165,155,45.5,45.5,71293,62,59
,2012,6,20121014,12:00p,Detroit,Philadelphia,DET,PHI,26,23,3,3.5,1,53,165,-175,47.5,47.5,44267,48,57
,2012,6,20121014,12:00p,Philadelphia,Detroit,PHI,DET,23,26,-3,-3.5,0,47,-175,165,47.5,47.5,47071,52,43
,2012,6,20121014,12:00p,Los Angeles,Miami,LA,MIA,14,17,-3,5.5,0,53,210,-230,38,38,43442,56,60
,2012,6,20121014,12:00p,Miami,Los Angeles,MIA,LA,17,14,3,-5.5,1,47,-230,210,38,38,34032,44,40
,2012,6,20121014,3:05p,New England,Seattle,NE,SEA,23,24,-1,-4,0,59,-190,175,42.5,42.5,81322,74,75
,2012,6,20121014,3:05p,Seattle,New England,SEA,NE,24,23,1,4,1,41,175,-190,42.5,42.5,28856,26,25
,2012,6,20121014,3:05p,Buffalo,Arizona,BUF,ARI,19,16,3,5,1,49,215,-235,44,44,35258,44,47
,2012,6,20121014,3:05p,Arizona,Buffalo,ARI,BUF,16,19,-3,-5,0,51,-235,215,44,44,44956,56,53
,2012,6,20121014,3:25p,Minnesota,Washington,MIN,WAS,26,38,-12,-2,0,55,-123,113,44,44,32533,52,52
,2012,6,20121014,3:25p,Washington,Minnesota,WAS,MIN,38,26,12,2,1,45,113,-123,44,44,29718,48,48
,2012,6,20121014,3:25p,N.Y. Giants,San Francisco,NYG,SF,26,3,23,7,1,64,285,-315,47,47,70657,57,60
,2012,6,20121014,3:25p,San Francisco,N.Y. Giants,SF,NYG,3,26,-23,-7,0,36,-315,285,47,47,53074,43,40
,2012,6,20121014,7:20p,Green Bay,Houston,GB,HOU,42,24,18,4,1,57,185,-200,46.5,46.5,64003,58,60
,2012,6,20121014,7:20p,Houston,Green Bay,HOU,GB,24,42,-18,-4,0,43,-200,185,46.5,46.5,47234,42,40
,2012,6,20121015,7:30p,Denver,San Diego,DEN,SD,35,24,11,1,1,56,-107,-103,48,48,61422,59,58
,2012,6,20121015,7:30p,San Diego,Denver,SD,DEN,24,35,-11,-1,0,44,-103,-107,48,48,42827,41,42
,2012,7,20121018,7:20p,Seattle,San Francisco,SEA,SF,6,13,-7,7.5,0,55,310,-340,37.5,37.5,34627,40,42
,2012,7,20121018,7:20p,San Francisco,Seattle,SF,SEA,13,6,7,-7.5,1,45,-340,310,37.5,37.5,51016,60,58
,2012,7,20121021,12:00p,Tennessee,Buffalo,TEN,BUF,35,34,1,4.5,1,46,190,-210,47,47,27010,36,44
,2012,7,20121021,12:00p,Buffalo,Tennessee,BUF,TEN,34,35,-1,-4.5,0,54,-210,190,47,47,47105,64,56
,2012,7,20121021,12:00p,Arizona,Minnesota,ARI,MIN,14,21,-7,7,0,63,260,-290,39,39,43754,51,59
,2012,7,20121021,12:00p,Minnesota,Arizona,MIN,ARI,21,14,7,-7,1,37,-290,260,39,39,41235,49,41
,2012,7,20121021,12:00p,Cleveland,Indianapolis,CLE,IND,13,17,-4,1,0,42,-105,-105,46.5,46.5,27815,37,36
,2012,7,20121021,12:00p,Indianapolis,Cleveland,IND,CLE,17,13,4,-1,1,58,-105,-105,46.5,46.5,48215,63,64
,2012,7,20121021,12:00p,Baltimore,Houston,BAL,HOU,13,43,-30,6.5,0,58,230,-250,47,47,41587,46,49
,2012,7,20121021,12:00p,Houston,Baltimore,HOU,BAL,43,13,30,-6.5,1,42,-250,230,47,47,47931,54,51
,2012,7,20121021,12:00p,Green Bay,Los Angeles,GB,LA,30,20,10,-4.5,1,63,-215,195,45,45,85527,79,81
,2012,7,20121021,12:00p,Los Angeles,Green Bay,LA,GB,20,30,-10,4.5,0,37,195,-215,45,45,23415,21,19
,2012,7,20121021,12:00p,Dallas,Carolina,DAL,CAR,19,14,5,-2.5,1,59,-140,130,45,45,63911,75,79
,2012,7,20121021,12:00p,Carolina,Dallas,CAR,DAL,14,19,-5,2.5,0,41,130,-140,45,45,21410,25,21
,2012,7,20121021,12:00p,Washington,N.Y. Giants,WAS,NYG,23,27,-4,6.5,0,64,230,-250,51.5,51.5,40783,49,49
,2012,7,20121021,12:00p,N.Y. Giants,Washington,NYG,WAS,27,23,4,-6.5,1,36,-250,230,51.5,51.5,42228,51,51
,2012,7,20121021,12:00p,New Orleans,Tampa Bay,NO,TB,35,28,7,-1.5,1,62,-119,109,49.5,49.5,64903,74,80
,2012,7,20121021,12:00p,Tampa Bay,New Orleans,TB,NO,28,35,-7,1.5,0,38,109,-119,49.5,49.5,22533,26,20
,2012,7,20121021,3:25p,N.Y. Jets,New England,NYJ,NE,26,29,-3,11.5,0,47,535,-650,47.5,47.5,38348,34,36
,2012,7,20121021,3:25p,New England,N.Y. Jets,NE,NYJ,29,26,3,-11.5,1,53,-650,535,47.5,47.5,74478,66,64
,2012,7,20121021,3:25p,Jacksonville,Oakland,JAC,OAK,23,26,-3,6,0,52,230,-250,44.5,44.5,24450,34,29
,2012,7,20121021,3:25p,Oakland,Jacksonville,OAK,JAC,26,23,3,-6,1,48,-250,230,44.5,44.5,47185,66,71
,2012,7,20121021,7:20p,Pittsburgh,Cincinnati,PIT,CIN,24,17,7,-1,1,55,-112,102,47,47,61802,65,71
,2012,7,20121021,7:20p,Cincinnati,Pittsburgh,CIN,PIT,17,24,-7,1,0,45,102,-112,47,47,33392,35,29
,2012,7,20121022,7:30p,Detroit,Chicago,DET,CHI,7,13,-6,6,0,55,235,-255,45,45,46794,44,44
,2012,7,20121022,7:30p,Chicago,Detroit,CHI,DET,13,7,6,-6,1,45,-255,235,45,45,59263,56,56
,2012,8,20121025,7:20p,Tampa Bay,Minnesota,TB,MIN,36,17,19,5,1,50,210,-230,43,43,44254,48,45
,2012,8,20121025,7:20p,Minnesota,Tampa Bay,MIN,TB,17,36,-19,-5,0,50,-230,210,43,43,48859,52,55
,2012,8,20121028,12:00p,New England,Los Angeles,NE,LA,45,7,38,-7,1,54,-305,275,46,46,67893,76,80
,2012,8,20121028,12:00p,Los Angeles,New England,LA,NE,7,45,-38,7,0,46,275,-305,46,46,21007,24,20
,2012,8,20121028,12:00p,Indianapolis,Tennessee,IND,TEN,19,13,6,3,1,48,155,-165,46.5,46.5,34577,51,52
,2012,8,20121028,12:00p,Tennessee,Indianapolis,TEN,IND,13,19,-6,-3,0,52,-165,155,46.5,46.5,33769,49,48
,2012,8,20121028,12:00p,Jacksonville,Green Bay,JAC,GB,15,24,-9,16,0,48,730,-930,45,45,20239,28,24
