LA,SEA,1,16.5,3,24,-4,0,1
MIA,NYJ,1,-2.5,34,13,-2,0,0
TB,DAL,1,7.0,20,26,-2,1,1
DET,NYG,0,4.0,6,17,-4,0,1
PHI,BAL,0,5.0,26,27,-4,1,1
GB,CHI,0,-5.0,30,27,-1,1,0
IND,MIN,1,5.5,34,6,-3,1,0
CLE,BUF,1,11.5,13,33,-5,0,1
TEN,KC,0,7.0,19,17,-5,1,0
JAC,HOU,0,3.5,20,21,-6,0,1
NO,ARI,0,2.5,48,41,-3,0,0
SF,ATL,1,14.0,13,41,-5,0,1
NE,DEN,1,-3.5,16,3,-2,0,0
OAK,SD,0,-3.0,19,16,-2,0,0
PIT,CIN,1,-3.5,24,20,-4,0,0
CAR,WAS,1,6.5,0,0,-3,1,0
