Date,Team,Team_SP,Opp,Opp_SP,Bet_Length,Bet_Type,Line_Move_Time,Over_Under,Line,Odds
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:56 AM,,,+132
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 12:48 PM,,,-144
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 12:48 PM,,,+134
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,03/31 04:00 PM,over,8,+100
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,03/31 04:00 PM,under,8,-120
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 11:34 AM,over,8,+105
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 11:34 AM,under,8,-115
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 11:57 AM,over,8,+100
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 11:57 AM,under,8,-110
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 09:21 PM,over,8,-110
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 09:21 PM,under,8,+100
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 07:10 AM,over,8,-106
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 07:10 AM,under,8,-104
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 08:21 AM,over,8,-105
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 08:21 AM,under,8,-105
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:27 AM,over,8,-112
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:27 AM,under,8,+102
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:29 AM,over,8,-120
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:29 AM,under,8,+110
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:41 AM,over,8.5,-105
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:41 AM,under,8.5,-105
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:24 PM,over,8.5,-110
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:24 PM,under,8.5,+100
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:48 PM,over,8.5,-115
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:48 PM,under,8.5,+105
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 02:35 PM,over,8.5,-120
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 02:35 PM,under,8.5,+110
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 02:44 PM,over,8.5,-115
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 02:44 PM,under,8.5,+105
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 02:49 PM,over,8.5,-110
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 02:49 PM,under,8.5,+100
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 03:32 PM,over,8.5,-115
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 03:32 PM,under,8.5,+105
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 03:35 PM,over,8.5,-120
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 03:35 PM,under,8.5,+110
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 03:59 PM,over,8.5,-115
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 03:59 PM,under,8.5,+105
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 04:11 PM,over,8.5,-120
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 04:11 PM,under,8.5,+100
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/01 05:15 PM,,-1.5,+130
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/01 05:15 PM,,+1.5,-141
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 07:56 AM,,-1.5,+129
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 07:56 AM,,+1.5,-140
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 10:52 AM,,-1.5,+126
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 10:52 AM,,+1.5,-137
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 10:56 AM,,-1.5,+124
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 10:56 AM,,+1.5,-134
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 11:12 AM,,-1.5,+120
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 11:12 AM,,+1.5,-130
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 11:38 AM,,-1.5,+118
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 11:38 AM,,+1.5,-128
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 11:45 AM,,-1.5,+116
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 11:45 AM,,+1.5,-126
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 12:23 PM,,-1.5,+121
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 12:23 PM,,+1.5,-131
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 12:51 PM,,-1.5,+123
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 12:51 PM,,+1.5,-133
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 02:44 PM,,-1.5,+118
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 02:44 PM,,+1.5,-128
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 04:10 PM,,-1.5,+124
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 04:10 PM,,+1.5,-134
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 04:10 PM,,-1.5,+126
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 04:10 PM,,+1.5,-137
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 04:10 PM,,-1.5,+129
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 04:10 PM,,+1.5,-140
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 04:11 PM,,-1.5,+131
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 04:11 PM,,+1.5,-142
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 09:10 AM,,,-125
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 09:10 AM,,,+115
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 11:08 AM,,,-126
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 11:08 AM,,,+116
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 12:22 PM,,,-128
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 12:22 PM,,,+118
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 12:22 PM,,,-130
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 12:22 PM,,,+120
