game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20170402,4:10p,,,SF,ARI,5,6,-1,-1.5,0,61%,-144,+134,,,66%,61%
,,,20170402,4:10p,,,ARI,SF,6,5,1,1.5,1,39%,+134,-144,,,34%,39%
,,,20170402,8:35p,,,CHC,STL,3,4,-1,-1.5,0,57%,-123,+113,,,60%,71%
,,,20170402,8:35p,,,STL,CHC,4,3,1,1.5,1,43%,+113,-123,,,40%,29%
,,,20170402,1:10p,,,NYY,TB,3,7,-4,-1.5,0,62%,-113,+103,,,66%,66%
,,,20170402,1:10p,,,TB,NYY,7,3,4,1.5,1,38%,+103,-113,,,34%,34%
,,,20170403,1:05p,,,MIA,WSH,2,4,-2,+1.5,0,38%,+185,-200,,,20%,14%
,,,20170403,1:05p,,,WSH,MIA,4,2,2,-1.5,1,62%,-200,+185,,,80%,86%
,,,20170403,1:10p,,,ATL,NYM,0,6,-6,+1.5,0,36%,+166,-176,,,26%,15%
,,,20170403,1:10p,,,NYM,ATL,6,0,6,-1.5,1,64%,-176,+166,,,74%,85%
,,,20170403,2:10p,,,COL,MIL,7,5,2,-1.5,1,52%,-125,+115,,,30%,31%
,,,20170403,2:10p,,,MIL,COL,5,7,-2,1.5,0,48%,+115,-125,,,70%,69%
,,,20170403,4:10p,,,SD,LAD,3,14,-11,+1.5,0,32%,+305,-335,,,13%,23%
,,,20170403,4:10p,,,LAD,SD,14,3,11,-1.5,1,68%,-335,+305,,,87%,77%
,,,20170403,4:10p,,,PHI,CIN,4,3,1,+1.5,1,47%,+105,-115,,,51%,10%
,,,20170403,4:10p,,,CIN,PHI,3,4,-1,-1.5,0,53%,-115,+105,,,49%,90%
,,,20170403,8:10p,,,SEA,HOU,0,3,-3,+1.5,0,42%,+139,-149,,,42%,45%
,,,20170403,8:10p,,,HOU,SEA,3,0,3,-1.5,1,58%,-149,+139,,,58%,55%
