game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20140322,1:05p,,,PHI,PIT,3,5,-2,+1.5,0,49%,+112,-122,,,22%,n/a
,,,20140322,1:05p,,,PIT,PHI,5,3,2,-1.5,1,51%,-122,+112,,,78%,n/a
,,,20140322,1:05p,,,DET,TOR,4,9,-5,-1.5,0,70%,-112,+102,,,66%,n/a
,,,20140322,1:05p,,,TOR,DET,9,4,5,1.5,1,30%,+102,-112,,,34%,n/a
,,,20140322,1:05p,,,NYY,MIN,5,4,1,-1.5,1,62%,-135,+125,,,76%,n/a
,,,20140322,1:05p,,,MIN,NYY,4,5,-1,1.5,0,38%,+125,-135,,,24%,n/a
,,,20140322,1:05p,,,BAL,TB,3,3,0,+1.5,0,42%,+147,-157,,,25%,n/a
,,,20140322,1:05p,,,TB,BAL,3,3,0,-1.5,0,58%,-157,+147,,,75%,n/a
,,,20140322,1:05p,,,BOS,ATL,3,6,-3,-1.5,0,100%,-122,+112,,,NaN
,,,20140322,1:05p,,,ATL,BOS,6,3,3,1.5,1,0%,+112,-122,,,n/a
,,,20140322,1:05p,,,STL,HOU,5,2,3,-1.5,1,96%,-142,+132,,,81%,n/a
,,,20140322,1:05p,,,HOU,STL,2,5,-3,1.5,0,4%,+132,-142,,,19%,n/a
,,,20140322,4:05p,,,TEX,KC,4,8,-4,+1.5,0,47%,+112,-122,,,58%,n/a
,,,20140322,4:05p,,,KC,TEX,8,4,4,-1.5,1,53%,-122,+112,,,42%,n/a
,,,20140322,4:05p,,,CIN,CHC,8,3,5,-1.5,1,100%,-110,+100,,,64%,n/a
,,,20140322,4:05p,,,CHC,CIN,3,8,-5,1.5,0,0%,+100,-110,,,36%,n/a
,,,20140322,4:05p,,,LAA,MIL,9,6,3,+1.5,1,89%,+102,-112,,,67%,n/a
,,,20140322,4:05p,,,MIL,LAA,6,9,-3,-1.5,0,11%,-112,+102,,,33%,n/a
,,,20140322,4:00a,,,LAD,ARI,3,1,2,-1.5,1,62%,-163,+157,,,77%,28%
,,,20140322,4:00a,,,ARI,LAD,1,3,-2,1.5,0,38%,+157,-163,,,23%,72%
,,,20140322,10:00p,,,LAD,ARI,7,5,2,-1.5,1,53%,-119,+109,,,77%,28%
