XAV,PAC,0.3
RICE,GT,-0.4
GT,RICE,0.4
DRKE,CAL,0.0
CAL,DRKE,-0.0
ORU,LMU,1.0
LMU,ORU,-1.0
CHAR,TXST,0.1
TXST,CHAR,-0.1
WVU,DAV,-0.1
DAV,WVU,0.1
MRST,VAN,0.0
VAN,MRST,-0.0
UTEP,CLEM,0.0
CLEM,UTEP,-0.0
OKLA,GONZ,-0.3
GONZ,OKLA,0.3
CIN,ISU,-0.1
ISU,CIN,0.1
ORE,UNLV,0.0
UNLV,ORE,-0.0
MEM,MINN,0.3
MINN,MEM,-0.3
UNI,STAN,0.0
STAN,UNI,-0.0
VCU,DUKE,-0.3
DUKE,VCU,0.3
LOU,MIZZ,-0.3
MIZZ,LOU,0.3
CREI,WIS,-0.1
WIS,CREI,0.1
DEL,PITT,-0.6
PITT,DEL,0.6
KSU,MICH,-0.8
MICH,KSU,0.8
RICE,DRKE,-0.3
DRKE,RICE,0.3
GT,CAL,0.3
CAL,GT,-0.3
BEL,NE,-0.9
NE,BEL,0.9
ORU,CHAR,0.0
CHAR,ORU,-0.0
UMKC,OSU,0.9
OSU,UMKC,-0.9
OAK,MSU,1.0
MSU,OAK,-1.0
XAV,DREX,-0.3
DREX,XAV,0.3
KENT,NEB,-0.3
NEB,KENT,0.3
MIZZ,VCU,-0.9
VCU,MIZZ,0.9
LOU,DUKE,0.0
DUKE,LOU,-0.0
CIN,ORE,-0.9
ORE,CIN,0.9
NE,CHAR,0.3
CHAR,NE,-0.3
UAB,TCU,0.6
TCU,UAB,-0.6
ILST,NW,0.3
NW,ILST,-0.3
VILL,LAS,0.3
LAS,VILL,-0.3
BALL,IND,0.6
IND,BALL,-0.6
SDSU,USC,0.6
USC,SDSU,-0.6
MRST,CLEM,-0.3
CLEM,MRST,0.3
WVU,OKLA,1.0
OKLA,WVU,-1.0
DAV,GONZ,-0.4
GONZ,DAV,0.4
XAV,DRKE,0.0
DRKE,XAV,-0.0
PAC,CAL,0.9
CAL,PAC,-0.9
SJSU,KU,0.4
KU,SJSU,-0.4
CHS,ND,-0.1
ND,CHS,0.1
MINN,FSU,0.2
FSU,MINN,-0.2
IOWA,VT,0.7
VT,IOWA,-0.7
NCST,MICH,0.1
MICH,NCST,-0.1
NEB,WAKE,0.6
WAKE,NEB,-0.6
MD,NW,-0.5
NW,MD,0.5
UNC,IND,-1.0
IND,UNC,1.0
UVM,HARV,-0.3
HARV,UVM,0.3
UVA,WIS,-0.2
WIS,UVA,0.2
PUR,CLEM,0.9
CLEM,PUR,-0.9
MSU,MIA,0.4
MIA,MSU,-0.4
GMU,URI,0.0
URI,GMU,-0.0
GT,ILL,-0.6
ILL,GT,0.6
BC,PSU,0.0
PSU,BC,-0.0
OSU,DUKE,0.8
DUKE,OSU,-0.8
UK,ND,0.0
ND,UK,-0.0
MARQ,FLA,-0.3
FLA,MARQ,0.3
HALL,LSU,0.1
LSU,HALL,-0.1
TENN,GTWN,-1.0
GTWN,TENN,1.0
UGA,USF,0.6
USF,UGA,-0.6
SYR,ARK,0.0
ARK,SYR,-0.0
DEP,AUB,-0.2
AUB,DEP,0.2
MSST,PROV,0.3
PROV,MSST,-0.3
BAY,UK,-0.2
UK,BAY,0.2
RUTG,MISS,-0.6
MISS,RUTG,0.6
MIA,MASS,0.0
MASS,MIA,-0.0
XAV,PUR,0.0
PUR,XAV,-0.0
ALA,CIN,-0.4
CIN,ALA,0.4
MICH,BRAD,0.0
BRAD,MICH,-0.0
VILL,VAN,0.0
VAN,VILL,-0.0
UAB,UNC,-0.3
UNC,UAB,0.3
TXAM,HOU,0.9
HOU,TXAM,-0.9
ARIZ,TTU,0.3
TTU,ARIZ,-0.3
SDSU,UCLA,0.2
UCLA,SDSU,-0.2
CLEM,SCAR,0.0
SCAR,CLEM,-0.0
CAL,WIS,-0.1
WIS,CAL,0.1
MD,GMU,0.3
GMU,MD,-0.3
EMU,SYR,0.6
SYR,EMU,-0.6
USC,NEB,0.0
NEB,USC,-0.0
RICH,ODU,0.5
ODU,RICH,-0.5
TEX,GTWN,-0.6
GTWN,TEX,0.6
OKLA,ARK,-0.2
ARK,OKLA,0.2
UGA,GT,0.3
GT,UGA,-0.3
WMU,MICH,0.9
MICH,WMU,-0.9
NW,BAY,0.2
BAY,NW,-0.2
NCST,CONN,0.0
CONN,NCST,-0.0
UNLV,PORT,-0.4
PORT,UNLV,0.4
SIE,SBON,0.0
SBON,SIE,-0.0
SAM,UK,-0.3
UK,SAM,0.3
SDAK,IOWA,-0.5
IOWA,SDAK,0.5
LOU,COFC,0.6
COFC,LOU,-0.6
LAM,PUR,-0.9
PUR,LAM,0.9
PSU,LAS,0.4
LAS,PSU,-0.4
FLA,FSU,1.0
FSU,FLA,-1.0
OHIO,MEM,0.7
MEM,OHIO,-0.7
MRSH,WVU,-0.6
WVU,MRSH,0.6
USF,OKST,0.0
OKST,USF,-0.0
TEM,VILL,1.0
VILL,TEM,-1.0
USC,UNM,1.0
UNM,USC,-1.0
GONZ,WSU,0.0
WSU,GONZ,-0.0
ARPB,MSU,0.3
MSU,ARPB,-0.3
VAN,XAV,0.7
XAV,VAN,-0.7
LBSU,SYR,-0.9
SYR,LBSU,0.9
VCU,ODU,0.2
ODU,VCU,-0.2
ISU,IOWA,-0.7
IOWA,ISU,0.7
LBSU,OSU,0.3
OSU,LBSU,-0.3
ARK,MICH,0.5
MICH,ARK,-0.5
PORT,UK,-0.1
UK,PORT,0.1
TCU,TLSA,-0.5
TLSA,TCU,0.5
L-IL,MSU,0.3
MSU,L-IL,-0.3
COLO,KU,0.3
KU,COLO,-0.3
KSU,GW,0.3
GW,KSU,-0.3
TEM,DUKE,0.1
DUKE,TEM,-0.1
VT,WVU,-0.7
WVU,VT,0.7
UCLA,TEX,-0.1
TEX,UCLA,0.1
UNI,GMU,0.0
GMU,UNI,-0.0
WIS,MARQ,-0.1
MARQ,WIS,0.1
ARIZ,CLEM,0.0
CLEM,ARIZ,-0.0
BUT,NW,-0.2
NW,BUT,0.2
VILL,PENN,0.6
PENN,VILL,-0.6
ILL,GONZ,0.0
GONZ,ILL,-0.0
UNLV,CAL,-0.3
CAL,UNLV,0.3
ME,FSU,0.3
FSU,ME,-0.3
WVU,DUQ,0.3
DUQ,WVU,-0.3
NDSU,MINN,0.0
MINN,NDSU,-0.0
BING,MICH,0.1
MICH,BING,-0.1
GB,WIS,0.3
WIS,GB,-0.3
SAV,OSU,-0.3
OSU,SAV,0.3
ECU,UNC,0.0
UNC,ECU,-0.0
CIN,MRSH,0.3
MRSH,CIN,-0.3
IND,BUT,-0.7
BUT,IND,0.7
TXAM,OKLA,-0.2
OKLA,TXAM,0.2
UNI,IOWA,-0.1
IOWA,UNI,0.1
LOU,MEM,0.6
MEM,LOU,-0.6
ALA,VCU,0.1
VCU,ALA,-0.1
NEB,ORE,-0.3
ORE,NEB,0.3
ND,PUR,0.8
PUR,ND,-0.8
NMSU,UNM,-0.6
UNM,NMSU,0.6
WVU,MICH,0.1
MICH,WVU,-0.1
KSU,GONZ,-0.2
GONZ,KSU,0.2
FLA,ARIZ,0.0
ARIZ,FLA,-0.0
BEL,KU,0.5
KU,BEL,-0.5
UNCA,OSU,-0.2
OSU,UNCA,0.2
DEL,VILL,0.0
VILL,DEL,-0.0
EKY,ILL,0.3
ILL,EKY,-0.3
DET,SYR,0.4
SYR,DET,-0.4
TXST,NW,-1.0
NW,TXST,1.0
UNLV,UTEP,-0.6
UTEP,UNLV,0.6
COR,VAN,-0.4
VAN,COR,0.4
IPFW,ND,0.8
ND,IPFW,-0.8
MSU,BGSU,0.6
BGSU,MSU,-0.6
RICH,KU,-0.1
KU,RICH,0.1
MIA,UCF,-0.5
UCF,MIA,0.5
WKU,VCU,-0.4
VCU,WKU,0.4
STAN,NCST,-0.2
NCST,STAN,0.2
WIN,OSU,0.4
OSU,WIN,-0.4
COR,DUKE,0.3
DUKE,COR,-0.3
WMU,DUQ,0.0
DUQ,WMU,-0.0
XAV,CIN,-0.3
CIN,XAV,0.3
ORE,UTEP,0.5
UTEP,ORE,-0.5
UNC,TEX,0.0
TEX,UNC,-0.0
MISS,LMU,0.8
LMU,MISS,-0.8
APP,SCAR,-0.3
SCAR,APP,0.3
MONT,NAU,-0.3
NAU,MONT,0.3
OAK,WVU,-0.3
WVU,OAK,0.3
MTST,SAC,-0.4
SAC,MTST,0.4
EMU,MICH,-0.3
MICH,EMU,0.3
ELON,DUKE,0.6
DUKE,ELON,-0.6
FAU,IND,-0.3
IND,FAU,0.3
BYU,BAY,0.1
BAY,BYU,-0.1
STAN,NW,0.0
NW,STAN,-0.0
MTU,VAN,-0.4
VAN,MTU,0.4
WCU,TENN,-0.3
TENN,WCU,0.3
NIAG,ND,0.1
ND,NIAG,-0.1
TEM,SYR,0.3
SYR,TEM,-0.3
USC,UGA,0.2
UGA,USC,-0.2
LSU,MARQ,0.6
MARQ,LSU,-0.6
TEX,MSU,-0.6
MSU,TEX,0.6
FSU,CHAR,0.0
CHAR,FSU,-0.0
GMU,RICH,0.9
RICH,GMU,-0.9
MRSH,UK,0.0
UK,MRSH,-0.0
KU,OSU,-1.0
OSU,KU,1.0
UVA,ODU,0.0
ODU,UVA,-0.0
MIZZ,ILL,-0.2
ILL,MIZZ,0.2
FLA,KSU,0.6
KSU,FLA,-0.6
WKU,LOU,-0.4
LOU,WKU,0.4
MILW,WIS,0.0
WIS,MILW,-0.0
MISS,INST,-0.3
INST,MISS,0.3
SDSU,SF,0.0
SF,SDSU,-0.0
ARIZ,ETSU,0.5
ETSU,ARIZ,-0.5
MURR,DAY,-0.5
DAY,MURR,0.5
DAV,DREX,0.0
DREX,DAV,-0.0
MCNS,UNC,-0.5
UNC,MCNS,0.5
COPP,IOWA,0.1
IOWA,COPP,-0.1
LAF,MINN,-0.6
MINN,LAF,0.6
MISS,SF,0.0
SF,MISS,-0.0
INST,SDSU,0.0
SDSU,INST,-0.0
ETSU,HAW,-0.2
HAW,ETSU,0.2
ARIZ,MIA,1.0
MIA,ARIZ,-1.0
BRAD,PORT,0.0
PORT,BRAD,-0.0
VT,CSU,-1.0
CSU,VT,1.0
UNH,PSU,-0.1
PSU,UNH,0.1
SF,ETSU,0.6
ETSU,SF,-0.6
MISS,HAW,-0.5
HAW,MISS,0.5
INST,MIA,-0.1
MIA,INST,0.1
SDSU,ARIZ,0.0
ARIZ,SDSU,-0.0
FAU,TROY,-0.9
TROY,FAU,0.9
FIU,WKU,-1.0
WKU,FIU,1.0
UNM,CIN,0.9
CIN,UNM,-0.9
IPFW,IUPU,0.3
IUPU,IPFW,-0.3
OAK,WIU,0.9
WIU,OAK,-0.9
NAU,BYU,0.9
BYU,NAU,-0.9
PROV,BRWN,-0.7
BRWN,PROV,0.7
BAY,GONZ,-0.3
GONZ,BAY,0.3
YALE,NEV,0.2
NEV,YALE,-0.2
MIZZ,UCLA,-0.1
UCLA,MIZZ,0.1
HP,CHAT,0.3
CHAT,HP,-0.3
HOW,UCF,0.0
UCF,HOW,-0.0
BU,BEL,0.0
BEL,BU,-0.0
USM,MORE,1.0
MORE,USM,-1.0
BGSU,UND,0.7
UND,BGSU,-0.7
SIUE,SLU,-0.3
SLU,SIUE,0.3
JAC,IND,1.0
IND,JAC,-1.0
WMU,NCST,0.2
NCST,WMU,-0.2
SCU,DUKE,0.6
DUKE,SCU,-0.6
RICE,TEX,0.9
TEX,RICE,-0.9
TLSA,FSU,-0.9
FSU,TLSA,0.9
UNLV,UNC,1.0
UNC,UNLV,-1.0
L-IL,DEP,0.9
DEP,L-IL,-0.9
UIC,TOL,-0.3
TOL,UIC,0.3
WM,PUR,0.3
PUR,WM,-0.3
VT,BYU,-0.7
BYU,VT,0.7
AUB,ILL,0.3
ILL,AUB,-0.3
NE,UAB,0.6
UAB,NE,-0.6
SJSU,TXST,-0.6
TXST,SJSU,0.6
MASS,NIU,-0.7
NIU,MASS,0.7
DUQ,PSU,0.2
PSU,DUQ,-0.2
UK,LOU,0.5
LOU,UK,-0.5
CP,UCRV,-0.6
UCRV,CP,0.6
AFA,FLA,0.9
FLA,AFA,-0.9
FAU,ULM,-0.2
ULM,FAU,0.2
XAV,TENN,0.5
TENN,XAV,-0.5
GMU,USF,-0.3
USF,GMU,0.3
CMU,MICH,0.8
MICH,CMU,-0.8
FOR,GT,-0.3
GT,FOR,0.3
WASH,CONN,0.4
CONN,WASH,-0.4
OHIO,OKLA,-0.1
OKLA,OHIO,0.1
EVAN,CREI,0.3
CREI,EVAN,-0.3
DRKE,BRAD,-0.8
BRAD,DRKE,0.8
UNT,WKU,0.0
WKU,UNT,-0.0
BUT,VAN,0.3
VAN,BUT,-0.3
ARST,USA,-0.6
USA,ARST,0.6
HARV,CAL,0.0
CAL,HARV,-0.0
DEN,LT,0.7
LT,DEN,-0.7
UCSB,CSF,0.2
CSF,UCSB,-0.2
IDHO,SEA,0.3
SEA,IDHO,-0.3
UCD,UCI,-0.9
UCI,UCD,0.9
PEAY,HP,-1.0
HP,PEAY,1.0
HOW,BU,0.6
BU,HOW,-0.6
UTM,SEMO,0.0
SEMO,UTM,-0.0
